inf_id,inst_id,Department,Year,objective
1,1,Mekelle Accounting and Finance,3,"The program plans to meet the Universitys mission of instilling into present and future leaders knowledge of current and future accounting, auditing and finance practices and relevant skills through student-centered high quality, viable programs which are fully recognized internationally and by both the private and public institutions in Ethiopia."
2,1,Mekelle Marketing,3,"Department of Marketing Management is one of the most dynamic and innovative departments in the college of Business and Economics, Mekelle University. The Department of Marketing Management intends to create a platform for the vibrant youth of Ethiopian who are planning to become practicing marketers in the arena of business. We do always believe on crafting and molding the students with required stamina and courage to become capable marketing practitioners in the local as well as in the global context."
3,1,Mekelle Cooperatives Studies,3,"The overall objective of the department is to produce professionals in the field of cooperation to help develop cooperative enterprises and people-centered organizations with self-reliance and good governance. The expertise is aiming at developing values, economic opportunities and ways of controlling own resources for the improvement of living standard of the poor in particular and to reach the middle class income of the nation at large. "
4,1,Mekelle Management,3,"The Department of Management is among the five Departments under the faculty of Business and Economics. Besides teaching, the department has been involving actively in various research, short-term trainings and consultancy activities in the areas of Management. The teaching, research, and consultancy activities have strengthened the staff’s capacity and enabled the staff to run graduate level teaching."
5,1,Mekelle Economics,3,"The department of economics, which is one of the departments of college of business and economics is known for its commendable international linkages, research and community services. The department has an academic staff of 49 [24 on duty + 25 study leave] out of which 8 are PhD holders."
7,2,Mekelle School of Computing,4,"Computer science is the field of computing that is leading the development of new knowledge in such areas as bioinformatics, intelligent systems, and computer vision and image processing. Computer science is broad field of study spanning theory through to software development. Ethiopia has underscored the use of ICT for development after having taken lessons from other countries. In line with this, the need for research, use and development of software is in demand at both national and regional level. Therefore, the program in computer science will provide the trained manpower that can satisfy the aforementioned professional needs."
8,2,Mekelle Chemical Engineering,5,"Chemical Engineering is extremely broad and dynamic field of study with constantly emerging technologies which profoundly affect our lives. Hence, the program, aims at addressing the economical, industrial, medical, technological and other needs and demands of the society. The department of Chemical engineering is the nucleus of research and development in the areas of chemical process industries. "
9,2,Mekelle School of Mechanical and industrial Engineering,5,"Mechanical Engineering is the branch of engineering concerned with the design, manufacturing, installation, and operation of engines and machinery. It is a broad specialization that has to do with all areas of life. Mechanical engineering is used, for example, in the space industry, aviation, in production, energy conversion, the mechanics of the buildings, transportation, and in the modeling and simulation information."
10,2,Mekelle School of Electrical and Computer Engineering,5,"The curriculum of the department has been thoroughly revised with structural modifications and inclusion of new additional theory papers and practical work component according to ECPB guidelines from academic year 2007/2008.  Bachelor’s degree in Electrical and Computer Engineering with four focus streams - Communication, Power Electronics, Computer Engineering and Industrial Control Engineering is offered now."
11,2,Mekelle School of Civil Engineering,5,"The school of civil engineering at Mekelle University has established in the year 1996 G.C. at department level with the objective of training middle level professionals [diploma level and B.sc degree]. It also undertakes research activities, trainings and consultancy service for public and private sectors besides contributes to the advancement of college of engineering through research."
12,2,Mekelle school of Architecture and Urban Planning,5,"Urban planning is an interdisciplinary field of study, reflected in the academic backgrounds of our faculty who have expertise in economics, urban design, urban revitalization, transportation, sustainability, and the intersections between these areas of study."
13,3,Mekelle Information Technology,4,Mekelle University ICT Directorate has established a university wide ICT Infrastructure and built capacity to serve the University core processes and outreach the external community with required ICT consultancy services and other research/development requirements.
14,3,Mekelle Biological and Chemical Engineering,5,"Chemical and biological engineering addresses a range of problems in human health, energy, materials science, and industrial processes."
15,3,Mekelle Computer Science and Engineering,5,"Computer science is the field of computing that is leading the development of new knowledge in such areas as bioinformatics, intelligent systems, and computer vision and image processing. Computer science is broad field of study spanning theory through to software development"
16,3,Mekelle Electrical and Electronics Engineering,5,"Bachelor’s degree in Electrical and Computer Engineering with four focus streams - Communication, Power Electronics, Computer Engineering and Industrial Control Engineering is offered now.  The staff of the department is highly motivated towards academic and research achievements. "
17,3,Mekelle Electronics and Communication Engineering,5,"Electronic engineering (also called electronics and communications engineering) is an electrical engineering discipline which utilizes nonlinear and active electrical components (such as semiconductor devices, especially transistors and diodes) to design electronic circuits, devices, integrated circuits and their systems."
18,4,AAU School of Electrical and Computer Engineering,5,"Starting from the earliest historical backgrounds, it can be said that in 46 years the Electrical Engineering (EE) programs of study of Institute of Technology (AAiT), AAU has grown and expanded from basic power and electronics engineering into five streams: Electronic Communication Engineering, Power Engineering, Industrial Control Engineering, Computer Engineering,  Microelectronics Engineering."
19,4,AAU School of Chemical and Bio Engineering,5,"Chemical Engineers are involved in all kinds of industries, namely food and drink, pharmaceuticals, energy, oil and gas, water, chemicals, materials such as plastics, metals and ceramics as well as products such as toiletries, fertilizers and detergents. Chemical Engineers are also involved in assessing health, safety and environmental issues including the growing field of recycling and cleaner production, manufacture of life-saving vaccines and managing projects for the treatment of wastewater. "
20,4,AAU School of Civil & Environmental Engineering,5,"The mission of the School of Civil and Environmental Engineering is to provide high quality civil engineering education and training, to undertake basic and applied research focusing on local problems while maintaining international standards, and to render professional services for national development."
21,4,AAU School of Mechanical and Industrial Engineering,5,"The current School of Mechanical and Industrial Engineering prepared the graduate program based on the needs of the industrial sector and higher learning institutions. The MSc program was started in the Academic year 1998/1999 in three areas of specialization, namely, Thermal Engineering, Mechanical Design and Industrial Engineering. The School also launched PhD programs in three areas of specialization, namely, Thermal Engineering, Mechanical Design and Industrial Engineering in 2008 G.C "
22,4,AAU Center of Biomedical Engineering,5,"The Center of Biomedical Engineering was established to produce trained manpower in critical areas of the discipline and lead research relevant to improvement of healthcare services in Ethiopia. Although Biomedical Engineering is a broad discipline with different tracks of study, the postgraduate programs launched are in Biomedical Instrumentation and Biomedical Rehabilitation."
23,4,AAU Center of Information Technology and Scientific Computing,4,"The AAiT is currently planning to produce graduates who are competent and productive in the current dynamic information technology world. Taking into consideration the local and global demands for IT professionals, the Institute has initiated this new program in a new department"
24,5,AAU School of Nursing and Midwifery,5,"The School of Nursing and Midwifery  comprises two academic departments, namely, the Department of Nursing and Midwifery (formerly the Centralized School of Nursing) and the Department of Medical Laboratory Sciences (formerly the School of Laboratory Technology). "
25,5,AAU School of Pharmacy,5,"The School of Pharmacy (SoP) was established in September 1961 as a unit under the Faculty of Science of the then Haile-Selassie I University with the goal of producing pharmacists to handle the country’s pharmaceutical and health needs. Two years later, it was merged with the newly opened Institute of Medical Sciences to form the Faculty of Medicine. Later on, in 1978, the Department of Pharmacy was raised to a full-fledged Faculty status under the name of “School of Pharmacy” and stayed as such until 2010. Following the reorganization of the AAU, it joined three other Schools and Tikur Anbessa Hospital to form the College of Health Sciences."
26,5,AAU School of Public Health,5,The Department of Community Health was founded in 1964 under the then Medical Faculty with the objective of training and equipping medical doctors with public health thinking and practice useful for a developing country setting where the majority of the morbidities and mortalities are preventable and most people are living in rural areas with no or little access to health services. It pioneered in starting the first graduate training in public health at a master’s level (MPH) in Ethiopia in 1984 and a doctoral program (PhD) in 2003/2004. The transformation to the School of Public Health (SPH) took place in February 2010 along with the restructuring at Addis Ababa University.
27,5,AAU School of Medicine,5,"Departments of School of MedicineSurgery, Neurosurgery, Orthopedics and PhysiotherapyDermatovenorology, int. Medicine, Psychiatry, Neurology and Nuclear Medicine, Dentistry and Ophthalmology,    Anatomy and Physiology>   Obstetrics and Gynecology"
28,6,AAU Political Science and International Relation,3,"The undergraduate curriculum aims at training mid-career professionals in the fields of Political Science and International Relations. Students are expected to be proficient in the field of study in terms of their grasp of key theoretical knowledge, methodologies and methods in the field of study, develop strong analytical skills, and acquire demonstrable skills in writing and presenting research in the wider academic context. "
29,6,AAU Archaeology and Heritage Management,3,"The Department runs both graduate and undergraduate programs, including a variety of courses in its curricula. Since the opening of the graduate program, trainees drawn from universities, research centers and Culture and Tourism bureaus, including a few self-sponsored students have attended the program. Our graduates are now engaged in higher education institutions, private business and in culture and tourism bureaus. Besides, 40% of the alumni are attending their further studies in African, American and European Universities. Thus, the graduate program in Archaeology has provided an important opportunity for students to do further studies. The Department aspires to be a center of excellence in Archaeology and Heritage Management in Ethiopia and the Horn."
30,6,AAU Geography and Environmental Studies,3,"Generally, in its undergraduate and graduate programs, the Department has a broad range of fields, which are complementary to each other, such as Physical Geography, Human Geography, Remote sensing and various tool courses including Geographical Information Systems (GIS), Photogrammetry and Cartography. The areas of specialization in the MA program include Urban and Regional Planning, Economic Geography, Land Resource Management and Water Resources Management. "
31,6,AAU Social Anthropology,3,"Anthropology means ‘human study’. Social anthropology, one of anthropology’s subfields, takes as its subject matter the comparative study of cultures and societies in the contemporary world. Although some people view social/cultural anthropology as devoted to documenting the ‘exotic’ customs of people in remote and far-flung areas, it is only by learning about cultural variations and similarities that we will be able to avoid generalizing about ‘human nature’ solely on the basis of observations from our own culture. This strong comparative tradition in social/cultural anthropology helps to reduce the possibility that our understanding and thoughts about human nature will be culture bound."
32,6,AAU History Department,3,"The Department started out with a three-year BA Program. Courses were divided into Ethiopian, African and World History from ancient times up to post-World War II. A course on Ottoman History was later replaced by a course or courses specifically on Islamic History and Institutions. The Department later added basic courses on History and Historiography and new issues such as women’s history, urban history and diaspora history. Courses in research methods prepared, and still prepare, BA students for the BA thesis, now renamed the BA senior essay. This is the crown of the students’ effort and achievement in the BA program and involves genuine original research on archival materials and with oral informants, often on areas of the country previously neglected in historical research and writing."
33,6,AAU Social Work,3,"The School of Social Work, CSS, Addis Ababa University, exists to contribute to equity and social justice in Ethiopia by undertaking quality research, promoting excellence in teaching, developing a professional knowledge base, producing capable social workers and empowering people and communities.”"
34,6,AAU Sociology,3,"Tertiary level training in sociology in Ethiopia has relatively long history, having started together with the inception of formal college education in the early 1950s. In this relatively long period of time, training in sociology as a subject has passed through many stages. Courses in sociology have been offered in various forms and along with those of the related fields of social anthropology and social work. The organizational structure of the department in undergraduate level training has passed through a number of changes together with successive curricular revisions."
35,6,AAU Philosophy,3,"The program focuses on history of Western philosophy, logic, epistemology, metaphysics, moral philosophy and political philosophy, and various African and Asian philosophical traditions as core areas. There are also other areas of philosophy (such as applied ethics, philosophy of education, philosophy of religion, gender issues and philosophy, philosophy of science and intercultural philosophy) that could be seen as second-order inquiries. They would immensely enrich the program in both theoretical and practical dimensions.  The courses of the program are classified as core, elective, general, and supportive. All students are required to take all core courses, because without some familiarity with these subjects, they cannot reasonably qualify for a degree in philosophy. On the other hand, students have the right to choose some courses from elective courses."
36,7,AAU Department of Chemistry,4,"The Department of Chemistry serves the Country by advancing and disseminating knowledge, educating students, catalyzing economic development, and by providing scientific leadership in the chemical sciences. The Department strives to strengthen its capacity to teach and conduct research. It continues to employ experienced academic and technical staff and acquire modern instruments to nurture existing and emerging programs. This will not only greatly enhance its graduate training capacity but will also enable it to support the academic activities of the emerging universities in the Country."
37,7,AAU Department of Computer Science,4,"After the decision of the University Senate in August 2002, the Computer Science program was structured as an independent Department under the Faculty of Informatics. An MSc program in Computer Science was also launched at the beginning of the 2002/03 academic year. The Department stayed under the faculty of Informatics until it was placed under College of Natural Sciences in the new University structure in 2011/12 academic year."
38,7,AAU General Biology,3,"The General Biology Program Unit is an offshoot of the former Department of Biology. Biology was one of the first subjects incorporated in the higher education program of the then University College of Addis Ababa, which was established in 1950 as the first higher education institution of the country. It started as a three-year diploma program and was later on upgraded to a BSc degree program in 1956/57, along with the formal establishment of the Department of Biology. The four year degree program was launched in 1959/60; it had biology major and chemistry minor course components. In addition, there was a curricular component that included several pedagogical courses which helped in training graduates who will join the teaching profession. The four year BSc program was reduced to a three-year program as of 2004/05."
39,7,AAU Department of Mathematics,4,"The Department of Mathematics, Addis Ababa University (AAU), has been running a BSc program in mathematics since 1961, an MSc program since 1980 and a Sandwich PhD program in Algebra since 2005 and recently in-house PhD program. So far, it has produced more than 500 MSc. Graduates. Expanding its programs further, the department has designed a full-fledged in-house PhD program in five branches of specialization, namely: Algebra, Analysis, Combinatorics, Differential Equations, and Optimization. The program creates the opportunity for eligible candidates to undertake their PhD studies locally in the listed areas of mathematics."
40,7,AAU Department of Physics,4,"Physics is the fundamental science concerned with the observation, understanding and prediction of natural phenomena and the behavior of man-made systems. It deals with profound questions about the nature of the universe and with some of the most important practical, environmental and technological issues of our time. The scope of Physics is broad and encompasses mathematical and theoretical investigation, experimental observation, computing technique, technological application, material manipulation and information processing. Physics seeks simple explanations of physical phenomena based on universal principles stated in concise and powerful language of mathematics. "
41,7,AAU Department of Microbial Cellular and Molecular Biology,3,"The history of postgraduate teaching in the new Department of Microbial Cellular and Molecular Biology (MCMB) is not different from that of its mother department, the former Department of Biology. The Department of MCMB was formed from the three specialization streams: Applied Genetics, Applied Microbiology and Biomedical Science of the former Department of Biology, which later transformed into Faculty of Life Sciences. "
42,7,AAU Department of Statistics,4,"One of the most interesting features of these programs was their flexibility. Students who performed well in the certificate program could continue to the diploma level. The same was true for transfer from diploma to degree program. The reverse was also true i.e., students who performed poorly were advised to join a lower level program. In 1973, the Statistical Training Center was upgraded to the Department of Statistics and it has been running the degree program for regular students and the diploma program for extension students since then. In 1974, the certificate program was terminated. In 1975 the diploma program was confined to the extension division only."
43,7,AAU Department of Plant Biology and Biodiveristy Management,3,"The modular curriculum revolves around three specialization areas, namely Plant Biodiversity Management, Plant Physiology/Eco-physiology and Plant Ecology. The rally around these three “pillar” disciplines was meant to reflect the main areas of Plant Biology and Biodiversity Management. It also reflects the existing staff, laboratory and field facilities, and other resources in these areas. But still to fill up gaps in some disciplines the department needs academic staff in few specialization areas. At present, the Department runs MSc and PhD Programmes. The current Programme review also concerns both the MSc and PhD Programmes in Plant Biology and Biodiversity Management. "
44,7,AAU Department of Sport Science,3,"The modular curriculum revolves around three specialization areas, namely Plant Biodiversity Management, Plant Physiology/Eco-physiology and Plant Ecology. The rally around these three “pillar” disciplines was meant to reflect the main areas of Plant Biology and Biodiversity Management. It also reflects the existing staff, laboratory and field facilities, and other resources in these areas. But still to fill up gaps in some disciplines the department needs academic staff in few specialization areas. At present, the Department runs MSc and PhD Programmes. The current Programme review also concerns both the MSc and PhD Programmes in Plant Biology and Biodiversity Management. "
45,8,JU Medicine,5,"Medicine is the science[1] and practice[2] of caring for a patient and managing the diagnosis, prognosis, prevention, treatment or palliation of their injury or disease. Medicine encompasses a variety of health care practices evolved to maintain and restore health by the prevention and treatment of illness. Contemporary medicine applies biomedical sciences, biomedical research, genetics, and medical technology to diagnose, treat, and prevent injury and disease, typically through pharmaceuticals or surgery, but also through therapies as diverse as psychotherapy, external splints and traction, medical devices, biologics, and ionizing radiation, amongst others.[3] "
46,8,JU Dentistry,5,"Dentistry, also known as dental medicine and oral medicine, is a branch of medicine that consists of the study, diagnosis, prevention, and treatment of diseases, disorders, and conditions of the oral cavity, commonly in the dentition but also the oral mucosa, and of adjacent and related structures and tissues, particularly in the maxillofacial (jaw and facial) area."
47,9,JU Biomedical Engineering,5,"Biomedical engineering (BME) or medical engineering is the application of engineering principles and design concepts to medicine and biology for healthcare purposes (e.g., diagnostic or therapeutic). BME is also traditionally known as ""bioengineering"", but this term has come to also refer to biological engineering. This field seeks to close the gap between engineering and medicine, combining the design and problem-solving skills of engineering with medical biological sciences to advance health care treatment, including diagnosis, monitoring, and therapy."
48,9,JU Chemical Engineering,5,"The main role of chemical engineers is to design and troubleshoot processes for the production of chemicals, fuels, foods, pharmaceuticals, and biologicals, just to name a few. They are most often employed by large-scale manufacturing plants to maximize productivity and product quality while minimizing costs."
49,9,JU Civil Engineering ,5,"Civil engineering is a professional engineering discipline that deals with the design, construction, and maintenance of the physical and naturally built environment, including public works such as roads, bridges, canals, dams, airports, sewerage systems, pipelines, structural components of buildings, and railways."
50,9,JU Electrical and Computer Engineering,5,"To train electrical and computer engineers;To prepare graduates with the capability of following the current and future developments in the field and related applications; To help graduatesdevelop the spirit of teamwork in addressing technical problems which may be encountered in industry in real life situations; To provide an opportunity for workers in the field of electrical technology to upgrade their knowledge through a continuing education program. To provide graduates with sufficient background to undertake postgraduate training in any one of the various specialized areas of Electrical and Computer Engineering To engage students in research that offers optimal solutions to technical problems in the industry, energy sector, telecommunications, computer applications and other industrial sectors; and To offer consultancy service to government, industry and society."
51,9,JU Mechanical Engineering,5,"Foster a personalized, supportive environment for all students by taking advantage of a small college atmosphere in a major research university;
Enrich the undergraduate experience through experiential learning and international study opportunities;
Provide a solid foundation and understanding of the fundamental principles of both the thermal-fluids and mechanical systems aspects of mechanical engineering;
Offer a flexible curriculum that includes 21 s.h. elective courses in any  standard i offerings (elective focus areas) or in an individualized elective focus area that is tailored to the student’s career goals;
Provide students with opportunities to participate in multi-disciplinary design teams and to develop and practice written and oral communication skills;
Offer courses that instruct students on how to design, conduct and interpret analysis, experiments and simulations in thermal-fluids and mechanical systems engineering;
Provide students with opportunities to design mechanical engineering systems, components, and processes to meet specific needs and constraints in select courses throughout the educational program;
Provide a contemporary grounding in professional responsibility, ethics, global and societal impact of engineering decisions, and the need for lifelong learning."
52,9,JU Software Engineering,4,"Objective of the program is to prepare students for professional careers and graduate studies with a balance between computing theory and practical application of software engineering concepts, methodologies, tools and technologies in the modern software development environments."
53,10,JU Hospitality and Tourism,3,"The Objectives of Tourism and Hotel Management Program is to provide training, skill development and education needed to prepare individuals for effective job performance in the hospitality, tourism and entertainment industries."
54,10,JU Banking and Finance,3,"The goals for a finance department can include strategic budgeting, cost containment, cash flow management, debt servicing, tax planning and accurate record keeping."
55,10,JU Management,3,"Getting Maximum Results with Minimum Efforts - The main objective of management is to secure maximum outputs with minimum efforts & resources. Management is basically concerned with thinking & utilizing human, material & financial resources in such a manner that would result in best combination."
56,10,JU Economics,3,"The programs offered by the Department of Economics are designed to (1) provide a general understanding of the functioning of the economic system and the role of institutions, groups, and regions within that system; and (2) prepare the student for employment in industry, the professions, and government, or to pursue graduate work toward such advanced degrees as the M.A., M.B.A., or Ph.D. in economics, business, or related fields."
57,10,JU Accounting & Finance,3,"To produce graduates in its regular degree program to satisfy a portion of the demand for accounting and finance graduates.
To enhance the relevance and timeliness of instruction, as well as the technical competency of the staff, by conducting applied research and developing innovative educational materials and techniques.
To provide students with sufficient academic, technical, logical, analytical, and professional base from which to pursue a career in accounting and finance and to advance to further study and a potential academic career in accounting and finance
To be a major provider of consultancy services to the public
To put 80% of its second year complete and third year complete students into internship programs in which students gain practical experience
To establish linkage programs with different stakeholders from which the program will be able to tap resources and share experiences"
58,11,AASTU Department of Architecture,5,"The Department of Architecture is designed to produce qualified architects who are capable of conducting architectural designs for multifunction buildings, infrastructures, public spaces/open space, and transportation etc. through efficient use of resources and based on the interest of the society, government and industries."
59,11,AASTU Department of Civil Engineering,5,"The Department of Civil Engineering has the biggest number of students in the College. There are more 2000 students in the graduate and undergraduate programs. It has five graduate programs and one undergraduate program. The graduate programs are Structural Engineering, Geotechnical Engineering, Hydraulic Engineering, Construction Technology and Management, Road and Transport Engineering. In addition to these postgraduate programs, 7 PhD programs are planned to be launched in January 2016. The planned PhD programs will be under the Department of Civil Engineering."
60,11,AASTU Department of Construction Technology and Management,5,The Department of Construction Technology and Management is designed to deal with construction project management and studying construction materials. The construction field is currently booming and the department has the vision to satisfy the current construction boom in terms of efficient management and efficient design and selection of construction materials.
61,11,AASTU Department of Urban Planning and Design,5,"The Department of Urban Planning and Design is designed to produce qualified professionals who are capable of conducting researches as well as designing sustainable city structures including multifunction buildings, infrastructures, public spaces/open space, and transportation etc. through efficient use of resources and based on the interest of the society, government and industries."
62,11,AASTU Department of Mining Engineering,5,"The Department of Mining Engineering is the first of its kind governmental Universities mapping and exploring minerals. Ethiopia is endowed with numerous and abundant minerals; hence the department focuses on delivering courses in mining techniques, designing mining equipment and aiming at boosting and strengthening the manpower need in the mining industry."
63,11,AASTU Department of Water Supply and Sanitary Engineering,5,"The Department of Water Supply and Sanitary Engineering is aimed at producing professionals who are capable of designing, implementing and managing water supply systems and sanitary systems. Ethiopia has low coverage of rural and urban water supply. The sanitary status is also extremely low. These problems can be solved by professionals who are capable of identifying water resources for the purpose of domestic water supply and who will seek solutions for the sanitary problem of the country."
64,12,AASTU Food Engineering,5,"Food Engineering Program aims to provide graduates with contemporary knowledge and skills to design and produce safe, high-quality and economical value-added food products and systems; to conduct scientific and applied researches and to extend accumulated knowledge and skills to the respective benefits of food industry."
65,12,AASTU Chemical Engineering,5,The Program Educational Objectives of the Chemical Engineering Program are: To provide chemical engineering students with a strong technical education and communication skills that will enable them to have successful careers in a wide range of industrial and professional environments.
66,12,AASTU Environmental Engineering,5,"Be engaged in learning, understanding, and applying new ideas as the field develops; Pursue advanced studies if qualified and interested; Promote the safety, health, and welfare of the public and environment through professional practice and civic leadership."
67,12,AASTU Biotechnology,5,To provide an intensive and in-depth learning and to develop technical and critical thinking skills necessary for success in the field of biotechnology. Students develop awareness & knowledge of different topics of biotechnology through lectures and practical classes.
68,13,AASTU Software Engineering,5,"Objective of the program is to prepare students for professional careers and graduate studies with a balance between computing theory and practical application of software engineering concepts, methodologies, tools and technologies in the modern software development environments."
69,13,AASTU Mechanical Engineering,5,"The mission of the Department of Mechanical Engineering is to provide an education that builds within students a solid foundation in mechanical engineering principles, expands the reasoning, communication and problem solving abilities of students, and prepares graduates who have the motivation and ability for lifelong growth in their professional careers."
70,13,AASTU Electro-mechanical Engineering,5,"The educational objectives of the Electro-Mechanical Engineering Technology program are designed to prepare graduates who, within a few years after graduation, will: Continue to develop and synthesize analytical skills in the specification, procurement, or integration of electromechanical systems."
71,13,AASTU Electrical and Computer Engineering,5,"An ability to identify, formulate, and solve engineering problems. an understanding of professional and ethical responsibility. an ability to communicate effectively. the broad education necessary to understand the impact of engineering solutions in a global, economic, environmental, and societal context."
72,14,AASTU Department of Geology,5,"Structural Geology and Tectonics Petrology, Geochemistry, Sedimentary Geology, Hydrogeology, Economic Geology Engineering Geology"
73,14,AASTU Department of Food Science and Applied Nutrition,5,"Food Science and Nutrition"
74,14,AASTU Department of Industrial Chemistry,5,"Analytical Chemistry

Inorganic Chemistry

Organic Chemistry

Physical Chemistry"
75,15,HRU School of Electrical and Computer Engineering,5,"
Design different problem solving principles and techniques in the area of electrical engineering
Understand and apply high-level tools and emerging technologies
Apply various systems’ theory and principles to real world problems
Develop communication skills to effectively interact with customers, supervisors and peers, both orally and in writing
Learn to work effectively in teams to achieve a common goal
Develop skills to monitor, supervise, manage projects and handle conflict
Understand ethical expectations of a computing professional
"
76,15,HRU Mechanical Engineering,5,"The mission of Mechanical Engineering Department of Haramaya Institute of Technology , Haramaya University is to offer a quality mechanical engineering education that renders problem solving and research capabilities to its graduates by using the state of the monument methodology, and provides consultancy services to local industries and the society at large"
77,15,HRU Food Technology and Process Engineering,5,"The mission of Food Technology and Process Engineering Department, Haramaya Institute of Technology, Haramaya University is to be one of the leading departments in the field of Food Technology and Process Engineering specially in Food Engineering, Food Technology and Food Process Engineering streams, to embark on rigorous, problem solving and cutting edge researches, disseminate knowledge and technologies, and provide demand-driven and transformative community services."
78,15,HRU Civil Engineering,5,"Civil Engineering is the oldest amongst all Engineering professions. Civil Engineering has the most immense and the widest range of sub-disciplines compared to other Engineering disciplines and one of the most comprehensive branches of the Engineering discipline. Civil Engineering is a branch of the “Engineering Sciences” which offers the most service to people and the surroundings in which they live and Bachelor–undergraduate program students learn the fundamental sciences and engineering knowledge related to various engineering disciplines. Civil Engineering is related to whatever serves human life, either directly or indirectly such as services relating to Structures, Roads, Water-Supply and Sewerage systems, Environment, Surveying works etc. which in turn links all the stages of these services project works starting with the Idea, Studies and Planning, Design and Stipulations, Execution (Implementation) or (Construction Stage), Site Supervision and Operation and Maintenance."
79,15,HRU Agricultural Engineering,5,"Basically the courses offered in the department focuses on the area of agricultural machine design and maintenance, design of agricultural products preservation equipment, design of farm structures, Rural electrification and installation, Renewable energy and rural technology, design of Irrigation structures, soil and water conservation and others."
80,16,HRU School of Pharmacy,5,"The school of Pharmacy is organized having four units via which it offers all the professional Pharmacy courses.

    Pharmacology and Toxicology unit
    Pharmaceutics and Social Pharmacy unit
    Pharmacognosy and Pharmaceutical Chemistry unit
    Clinical Pharmacy and Pharmacy Practice unit.
"
81,16,HRU School Of Nursing and Midwifery,5,"Critical care nursing is that specialty within nursing which deals specifically with human responses to life-threatening problems. Emergency and critical care nurses apply direct interaction with patients, families and groups of patients to promote health or well-being and improve quality of life. These interactions are characterized by a holistic perspective in the advanced Medical and Nursing management of health, illness and disease states. Emergency & critical care nurse practitioner demonstrates competence in the domain of the emergency & critical nursing care provision."
82,16,HRU Department of Environmental Health Sciences,5,"The College of Health and Medical Sciences is among those colleges which were opened at expanding time of the university and Department of Environmental Health Science is one of the pioneer departments in this college. Over the years, we have built a strong reputation in producing qualified environmental health professionals and undertaking problem solving researches. Our approach to learning and research make our programs an excellent gateway into the field of Environmental as well as Public Health."
83,16,HRU School of Public Health,5,"Department of public health started by offering BSc degree is bedrock of a College of Health and Medical Sciences (CHMS). By signing bilateral agreement with Addis Continental Institute of Public Health (ACIPH) in 2008, the department has magnificently expanded to give masters and PhD degrees in the area of public health. Consequently, in 2016, the department upgraded itself to School of Public Health. Currently, the School runs various programs like: Bachelor of Science in Public Health, Masters of Public Health in Epidemiology, Field Epidemiology, General Public Health, Reproductive Health, Public Health Nutrition, Health service Management and PhD in public Health. "
84,16,HRU School of Medicine,5,"Exhibit excellent clinical skills
Embody respect for the ideals of equity, diversity and cultural sensitivity
Advocate for improvements in healthcare systems and community health
Embody high standards of professional conduct and,
Embrace life-long learning."
85,17,HRU Department of Biomedical Sciences,5,"The Department of Biomedical Sciences in the college of Veterinary Medicine is responsible for the co-ordination of Basic sciences, biomedical teaching and research activities. The Department offers a number of opportunities for both undergraduate and postgraduate study. The Department of Biomedical Sciences has major teaching and research responsibilities within the DVM professional curriculum: Anatomy, physiology, Biochemistry, histology, embryology, molecular biology."
86,17,HRU Department of Veterinary Pathology and Parasitology,5,"The Department of Veterinary Pathology & Parasitology is one of the 4 departments of the College of Veterinary Medicine, Haramaya University. The department is currently non-degree offering and comprises of 3 major sections namely, Pathology, Parasitology and Clinical Pathology. The staff is comprised of 5 academics. The Department has one expertise in Hematology and Clinical Pathology and another one expertise in Veterinary Parasitology both with the rank of assistant professor. Currently the Department is involved in offering courses such as Veterinary Pathology, Veterinary Parasitology, Veterinary Clinical Pathology and Poultry Diseases to undergraduate students of the College. In the near future the Department would be in full capacity to start postgraduate program (MSc/MVSc) in Veterinary Pathology. Demand-driven diagnostic and consultancy services are also offered in diseases of domestic animals including poultry. Staff members in the department, together with other staffs of the College; also carry out, problem-oriented research, which is geared towards improving animal health and production."
87,17,"HRU Department of Veterinary Epidemiology, Microbiology and Public Health",4,"The Department of Veterinary Epidemiology, Microbiology and Public Health is organized for three broad veterinary disciplines in an effort to enhance interdisciplinary teaching. The department mission is to create skill in microbiological and immunological laboratory disease diagnostics, preserve and communicate knowledge on the causes and prevention of animal disease and the promotion of public health through enhancing knowledge on zoonotic diseases."
