inf_id,inst_id,Department,Year,objective
88,17,HRU Department of Veterinary Clinical Studies,4,"Department of Veterinary Clinical Studies is one of the four academic departments in the College of Veterinary Medicine at Haramaya University. The Department is committed to developing interdisciplinary teaching in the veterinary medical profession and delivering various Veterinary Clinical Courses and outreach community services. The courses provided by this department include: Veterinary Clinical Diagnosis, Veterinary General Medicine, Veterinary Diagnostic Imaging, Veterinary General Surgery & Anesthesiology, Veterinary Operative Surgery, Large Animal Medicine, Equine Medicine, Small Animal Medicine, Theriogenology and Reproductive Medicine and Clinical Practices."
89,18,ASTU Architecture,5,"Architecture is an art and science of designing buildings and other structures, and it deals with planning, designing and constructing form, space and ambience to reflect functional, technical, social, environmental and aesthetic considerations. It requires the creative manipulation and coordination of materials and technology, and of light and shadow. The practice of architecture also encompasses the pragmatic aspects of realizing buildings and structures, including scheduling, cost estimation and construction administration."
90,18,ASTU Civil Engineering ,5,"Civil engineering is a professional engineering discipline that deals with the design, construction, and maintenance of the physical and naturally built environment, including works like roads, bridges, canals, dams, buildings etc. It is traditionally broken into several sub-disciplines including Structural Engineering and Geotechnical Engineering. Subjects related to structural engineering deals with the analysis and design of structures that support or resist loads. Structural Engineering is largely the implementation of mechanics to the design of the large structures that are fundamental to basic living, such as buildings, bridges, walls, dams, and tunnels. Structural engineering theory is based upon applied physical laws and empirical knowledge of the structural performance of different materials and geometries. Structural engineering design utilizes a number of simple structural elements to build complex structural systems. "
91,18,ASTU Urban Planning & Design,5,"Urban design is the process of designing and shaping cities, towns and villages. Whereas architecture focuses on individual buildings, urban design address the larger scale of groups of buildings, of streets and public spaces, whole neighborhoods and districts, and entire cities, to make urban areas functional, attractive, and sustainable. Urban design is an inter-disciplinary subject that unites all the built environment professions, including urban planning, landscape architecture, architecture, civil and municipal engineering."
92,19,ASTU Thermal and Aerospace Engineering,5,"Thermal and Aerospace Engineering a field of study which is  a combination of two very similar fields of mechanical engineering namely, thermal and aerospace engineering. Students will choose their destiny based on the available elective courses."
93,19,ASTU Chemical Engineering,5,"Chemical engineering applies the natural (or experimental) sciences and life sciences together with mathematics and economics to produce, transform, transport, and properly use chemicals, materials and energy. It essentially deals with the engineering of chemicals, energy and the processes that create and/or convert them. Chemical engineering is concerned with processes that convert raw materials or chemicals into more useful or valuable forms in the most economic and environmentally friendly manner. It is also concerned with pioneering valuable materials and related techniques. Chemical engineering therefore focuses on various processes that cause chemical, physical, biological and energy changes in addition to designing and inventing the way to do so. Basic principles in mathematics, chemistry, physics and biology are interpreted to application to the processes abovementioned."
94,19,ASTU Mechanical Design and Manufacturing Engineering,5,"The aim of this program is to enable students to develop a thorough understanding of engineering design and manufacturing principles and apply that understanding to the design and manufacture of products, processes or systems at an overall or detail level. Modern design techniques and manufacturing technologies are thoroughly explained. Modules on design, processes, methods, tooling, CAD/CAM, planning and management are the core of the program."
95,19,ASTU Materials Science and Engineering,5,"Materials Science and Engineering deal with the exploration of the relationship between structure and properties of all classes of materials including metals, ceramics, electronic materials, and biomaterials.  It incorporates elements of physics and chemistry. It also deals with production and synthesis of these materials. It is an important part of forensic engineering (the investigation of materials, products, structures or components that fail or do not operate or function as intended) and failure analysis, the latter being the key to understanding the cause of various accidents. Many of the most pressing scientific problems that are faced today are due to the limitations of the materials that are available and, as a result, breakthroughs in this field are likely to have a significant impact on the future. This program interweaves science and engineering of materials."
96,19,ASTU Mechanical Systems and Vehicle Engineering,5,"Trained human resource is by far the most decisive components of the development period. The training program must be proper and aligned with the objective factor of specific area. Mechanical Systems and Vehicle Engineering Program of Adama Science and Technology University will be introduced for 2007 entry students after the university has been distinguished as one of Science and Technology University of the country. This program is the composition of Automotive, Farm Machinery and Mechanical Systems Engineering. It deals with application of mechanical, physical and electronic principles to solve the real-life problems based on the issues in design, construction, operation and maintenance related to mechanical systems and vehicle engineering. The program  is believed  to be motive force  to cultivate  the  potential  of  students,  and  the advancement  of  all  forms  of  knowledge  keeping  in  pace  with  international standards  of  academic  quality,  including  the  high  skilled  employment, to meet  the  growing economy operating in global environment."
97,20,ASTU Electrical Power and Control Engineering (EPCE) program,5,"The program of Electrical Power and Control Engineering (EPCE) is one of the three programs in the School of Electrical Engineering and Computing in Adama Science and Technology University. The Program is aimed in serving the country by producing engineers and researchers who are playing key roles in the various sectors of development in the country and also advanced the University’s reputation. The core strategy of the Program is to pursue its vision and mission to enhance its research, linkage with industry, academic and scholarly activities and become a center of excellence for its programs, thereby improving its eminence in national and international rankings. "
98,20,ASTU Electronics and Communication Engineering (ECE) program,5,"Electronics and Communication Engineering is one of the programs of School of Electrical Engineering & Computing that aims to integrate separate engineering fields to meet the joint demands made by the Electronics and Communication industries in today's world. This program includes design, implementation and testing of a wide range of Electronics and Communication systems such as electronic devices, communications devices, digital signal processing and networking."
99,20,ASTU Computer Science and Engineering (CSE) Program,5,"The mission of the Computer Science and Engineering CSE program is to provide students with a broad and flexible education in computer science and engineering, to prepare its graduates for rapidly changing technological fields, and give them a sound basis for professional practice, advanced education, active citizenship, and lifelong learning. The students are prepared to expand this knowledge through research into new technologies, design methods, and analysis techniques that link the knowledge with multi-disciplinary fields and advance the state of the art. With a knowledge of contemporary technological issues and their impact globally, economically, and environmentally, computer scientists and engineers are at the forefront of advances that continually transform society."
100,21,ASTU Applied Biology,4,"Applied biology is a discipline that put biological principles and theories into practices. It focuses on solving specific life science problems and creating biological products. Main focused fields are structural and molecular biology, molecular medicine, cellular and developmental biology, and plant sciences. Undergraduate students are educated basic concepts of biology and related topics to understand biological pathways and phenomenon. In postgraduate course implementation of creative suggestions for the solution of current biological problems and validation by individual research with supervisors and academic staffs will be carried out systemically. Translational research is encouraged to deliver biological discoveries to industry sector through Bio resource Research Center and Chemical Biology Center. The establishment of excellence in applied biology will be accomplished by the collaboration between programs and schools, and international exchange programs are essential components for the globalization of students."
101,21,ASTU Applied Chemistry,4,"Analytical chemistry focuses on the qualitative and quantitative determination of the chemical components of substances. It is applicable in forensic chemistry, environmental chemistry and drug testing.
Inorganic chemistry studies the properties of inorganic compounds like crystal structures, minerals, metals, catalysts, and most elements in the periodic table. Bioinorganic chemistry, solid state chemistry, geochemistry, nuclear chemistry, and organometallic chemistry are some of the branches.
Organic chemistry involves the study of the structure, properties, and preparation of chemical compounds of mainly carbon & hydrogen and other elements such as nitrogen, oxygen, phosphorus, sulfur, the halogens and silicon. It is applicable in medicinal chemistry, natural products and polymer materials chemistry.
Physical chemistry applies physics to the study of chemistry. It typically studies the rate of a chemical reaction, the interaction of molecules with radiation, and the calculation of structures and properties. It is applicable in photochemistry, surface chemistry, spectroscopy, chemical kinetics and quantum chemistry.
Along with the four disciplines of chemistry, the program also encompasses compulsory and elective applied chemistry courses on process design, biological chemistry, health and safety, environmental protection, biomaterials, inorganic materials, polymer materials, medicinal chemistry, industrial chemistry. The program is intended to include internship schedule in the summer of the undergraduate study in order to make students be acquainted with the real chemistry application.
"
102,21,ASTU Applied Geology,4,"The program has been focused on the knowledge gaps of the following projects
-  Geodynamics of the East African Rift,
-   Petrogenesis of various rocks of Ethiopia,
-   Reconstruction of paleo-environmental setting of Ethiopia,
-   Inventory/baseline survey of earth materials and earth resources of Ethiopia.
-   Graduates from the Applied Geology Program are doing researches on
-   Geological surveying: (e.g. Geological survey of Ethiopia)
-   Groundwater and Surface water exploration and Exploitation and Irrigation
-   Geotechnical and construction: Roads, Tunnels, Bridges, Dams and other infrastructures
-   Energy : Hydropower, wind and geothermal
-   Mineral Exploration and Mining: Economic Mineral (Precious metals and base metals), Industrial minerals and Gemstones
-   Environmental Protection and Geohazard Monitoring (Landslides, Earth quakes, flooding and ground cracks)
"
103,21,ASTU Applied Mathematics,4,"The general objectives of applied mathematics program are:

-   To educate students to be qualified, adaptable, motivated, and responsible Mathematicians who will lead the scientific and technological advancement of Ethiopia.
-   To create best scientists to conduct research alone and with other disciplines.
-   Program of Applied Mathematics also deliver M.Sc. with the following specializations:
-   Mathematical Modeling
-   Numerical Analysis
"
104,21,GU Applied Physics,4,"The applied physics program focuses on the fundamental theories and principles of physics and expands towards the application of such principles. The courses offered range from classical to quantum mechanics, from electricity to electrodynamics and advanced electronics and from general to exploration geophysics. Nuclear physics, solid state physics and statistical physics also are the main components of this program."
105,22,GU Civil Engineering,5,"Students will acquire the ability to identify, formulate, and solve engineering problems. an understanding of professional and ethical responsibility. an ability to communicate effectively. the broad education necessary to understand the impact of engineering solutions in a global, economic, environmental, and societal context."
106,22,GU Food Engineering ,5,"Food Engineering Program aims to provide graduates with contemporary knowledge and skills to design and produce safe, high-quality and economical value-added food products and systems; to conduct scientific and applied researches and to extend accumulated knowledge and skills to the respective benefits of food industry."
107,22,GU Computer engineering ,5,"The practice of Computer Engineering.
Academic careers in Computer Engineering.
Other areas in which a preparation in Computer Engineering will support significant contributions to the field, including finance, medicine and law.Service to the Engineering community and the community at large."
108,22,GU Electrical and computer engineering ,5,"Students will have the ability to identify, formulate, and solve engineering problems. an understanding of professional and ethical responsibility. an ability to communicate effectively. the broad education necessary to understand the impact of engineering solutions in a global, economic, environmental, and societal context."
109,22,GU Mechanical Engineering ,5,"The mission of the Department of Mechanical Engineering is to provide an education that builds within students a solid foundation in mechanical engineering principles, expands the reasoning, communication and problem solving abilities of students, and prepares graduates who have the motivation and ability for lifelong growth in their professional careers."
110,22,GU Biotechnology,5,To provide an intensive and in-depth learning and to develop technical and critical thinking skills necessary for success in the field of biotechnology. Students develop awareness & knowledge of different topics of biotechnology through lectures and practical classes.
111,23,GU Agricultural economics,4,"To produce qualified and competent graduates in the field of Agricultural Economics with the required skills, knowledge and attitudes
To facilitate, promote and disseminate appropriate agricultural  technologies
To give community based servicesTo facilitate agricultural and rural economic development
"
112,23,GU Plant sciences,4,"Understand the function and dynamics of forests and related renewable resources;    Attain skills required to manipulate forests and related natural resource systems and to predict the consequences;
Assess & monitor citizen and owner values regarding forests; and
Integrate values with scientific facts"
113,23,GU Horticulture,4,"Horticulture is one of the sub-sectors of agriculture from which many developing and developed countries have been benefiting a lot, not only for food self-sufficiency but also for sustainability of their economies. Department of Horticulture has become operational since 2014/2015 academic year being one of the six known departments in CAES, University of Gondar."
114,23,GU General Forestry,4,"Understand the function and dynamics of forests and related renewable resources;
Attain skills required to manipulate forests and related natural resource systems and to predict the consequences;
Assess & monitor citizen and owner values regarding forests; and
Integrate values with scientific facts"
115,24,GU Music,3,"Promote the highest levels of human aspiration and artistic integrity through the composition, documentation, and performance of music.
Develop an analytical, creative, and intuitive understanding of music as a cultural language."
116,24,GU Gender and Development Studies,3,"The Knowledge to: Understand and explain Gender and Development issues. Analyze the dynamic interactions of cultural, social, political, economical and legal issues and work towards women's empowerment and gender equality. Understand basic components of projects related to gender equality."
117,24,GU Psychology,3,"The four primary goals of psychology are to describe, explain, predict, and change behavior. In many ways, these objectives are similar to the kinds of things you probably do every day as you interact with others."
118,24,GU Theatrical Arts,3,"To build intellectual and aesthetic understanding of the craft and technique of theatre arts. To develop an appreciation of and respect for the various roles/aspects inherent within the theatrical process. To explore the diversity of theatre and its intersection with community, culture and society."
119,25,AMU Architecture & Urban Planning,5,Architecture and Urban Planning Department as the name indicates comprises two components. The Architecture component concerns with the work of design and planning of buildings. Urban planning is an activity carried out to guide socio-economic and spatial developments of urban centers.
120,25,AMU Civil Engineering,5,"To prepare all graduates to be successful Civil Engineers, equip them to take on challenges through rigorous training

To instill competence in latest know how; inculcate professionalism with effective communication skills and ethical values

To groom students with effective leadership with moral values"
121,25,AMU Computer Science & IT,4,"Education: to run Computer Science and IT programs to undergraduate, graduate, continuing and distance education students, as well as to offer Computer Science service courses to other Departments of the University.

"
122,25,AMU Hydraulic & Water Resources Engineering,5,"Undertake project identification; pre-feasibility and feasibility studies of water resources projects; with emphasis on hydropower projects;
Plan water resources and hydropower projects; and design hydraulic structures required for hydropower systems, water supply systems, Irrigation systems and structures which are related with environmental protection works;
Prepare complete contract documents for water resources projects like hydropower projects, water supply projects, Irrigation projects, and projects which are related with environmental protection work;
Plan, design and manage and supervise the construction of hydraulic and hydropower structures and related civil engineering works;
Plan, design, manage, monitor and evaluate the operation and maintenance of hydraulic and hydropower systems;
Remodeling and rehabilitation of existing water supply, hydraulic and hydropower systems.
"
123,25,AMU Electrical Engineering,5,"An ability to identify, formulate, and solve engineering problems. An understanding of professional and ethical responsibility. An ability to communicate effectively. The broad education necessary to understand the impact of engineering solutions in a global, economic, environmental, and societal context."
124,26,AMU Nursing,4,"Maintain consistency in curriculum with standardized practice
Use progressive assessment at every stage of the examination
Make student self-confident by guiding them to embark on theoretical and practical education 
Produce competent practitioners with ethical manner to address patient’s problems"
125,26,AMU Medicine,5,The department has started to be operational since 2009 (2001 E.C) with an initial intake of 51 students and a second admission of 62 students in 2010. A total of 113 students are currently attending their study of which 23 (20.3%) are female students.
126,27,AMU Sport Sciences,3,"The general objective of the program is to produce graduates with the optimum knowledge and skill development in Sport Science by equipping with different techniques & skills of sport activities, knowledge of scientific analysis of human body movement in respect of physical activities & professionals at different level ."
127,27,AMU Physics,4,To establish a platform for the dissemination and creation of knowledge through teaching and research in Physics at various levels. To help create a scientific society which encourages logical thinking.
128,27,AMU Mathematics ,4,To train professionals in the education of mathematics at all levels. To provide opportunities for the student to participate in collaborative work and develop their leadership and group work skills. To facilitate and promote second concentration in mathematics for students of other disciplines.
129,27,AMU Biology,4,The study of biology aims to increase understanding of living systems and to allow you to consider the systems in relationship to the self and other organisms in the natural environment. An advantage of biology subjects is the application of theory to the real world.
130,27,AMU Chemistry,4,"Students will have knowledge of the fundamental principles and contemporary practices of chemistry, and will be able to use them to investigate, explain, and predict new phenomena. Students will be aware of the application of scientific principles, particularly those of chemistry, to societal issues."
131,28,AU Accounting and Finance ,3,"Accounting and Finance, a distinctively modern department prides itself on its friendliness and diversity, serving studentscome from national and international countries. It has well educated and committed academic staffs with a mix of diverse educational backgrounds.They are workingFriendly and cooperatively to enrich the work and social environment at the department, college and hence at the university level."
132,28,AU Marketing Management ,3,"The program is designed to provide students an in-depth understanding of how to achieve total customer satisfaction through the use of appropriate marketing skills. It is also aimed to develop flexibility, adaptability and independence to enable our graduates to cope in a rapidly changing economic, social and technological environment in an innovative way."
133,28,AU Public Administration and Development Management ,3,"The department looks forward to widen its networks and work with new partners to support governance and sustainable development in Ethiopia and beyond.  Lastly, in addition to teaching and learning the department is conducting researches in its thematic areas i.e  Public Policy Analysis, Governance and Development, Performance Managment, Public Values, Leadership and Change Management and Public Finance and Budgeting."
134,28,AU Management ,3,"Management Department is commenced in Ambo University in 2002 E.C/ 2010 G.C. The department has started operation with few staffs and students. With nearly a decade duration and emphasis on Community demand in mind many things has been undertaken by the department.  Currently the department partake its role in three major objectives of university. Primarily the contribution in production of educated manpower is indispensable.  With more than 20 academic staff the department is injecting need based graduates with regular and CEP programs at Ambo, Holeta and winget centers."
135,28,AU Economics ,3,"Department of Economics has launched under College of Business and Economics in 2009 G.C based on the highly demanded nature of field of Study at different sectors.  The number and qualifications of staffs and students have been increasing and currently the department is running both Undergraduate (BA in Economics) and Postgraduate program (MSc in Development Economics) by regular & summer at Ambo and Weekend at Ambo, Holeta, Wingate and Ashewa  Meda (Planned) centres. Total numbers of UG are 300 and PG students 95."
136,29,JGU Civil Engineering,5,"An ability to identify, formulate, and solve engineering problems. an understanding of professional and ethical responsibility. an ability to communicate effectively. the broad education necessary to understand the impact of engineering solutions in a global, economic, environmental, and societal context."
137,29,JGU Information Technology,4,"Objectives for an IT department enable more efficient functional capabilities, as well as better strategic positioning that enables the organization to be competitive in its industry and the market."
138,29,JGU Computer Science,4,"The goals of the computer and information sciences department are to prepare students for graduate training in some specialized area of computer science, to prepare students for jobs in industry, business or government, and to provide support courses for students in engineering, mathematics and other fields."
139,29,JGU Mechanical Engineering,5,"The mission of the Department of Mechanical Engineering is to provide an education that builds within students a solid foundation in mechanical engineering principles, expands the reasoning, communication and problem solving abilities of students, and prepares graduates who have the motivation and ability for lifelong growth in their professional careers."
140,29,JGU Electrical and Computer Engineering,5,"An ability to identify, formulate, and solve engineering problems. an understanding of professional and ethical responsibility. an ability to communicate effectively. the broad education necessary to understand the impact of engineering solutions in a global, economic, environmental, and societal context."
141,30,JGU Nursing ,4,"Caring for patients with acute and chronic illnesses; facilitating discharge planning; providing palliative care; and offering patient education; illness prevention services, and health maintenance care. Providing comprehensive care that considers the patient's social, emotional, cultural, and physical needs."
142,30,JGU Midwifery,4,"The major objective of the midwifery program is to prepare midwives who are able to provide effective and appropriate primary, secondary, and tertiary care to improve the health of women, newborns, and families in various settings."
143,30,JGU Public Health Officer ,4,Identify and investigate health issues and health hazards in the people. Provide communities required personal health services and ensure the provision of health care. Develop plans and policies that help individual and community health initiatives. Search for new ideas and innovative solutions to health issues.
144,31,JGU Sociology,3,"To teach students the concepts, theories, and methods of the behavioral and social services. 
To introduce students to the basic social processes of society, social institutions and patterns of social behavior."
145,31,JGU Political Science and International Relations,3,"In accordance with the qualifying educational objectives identified by the class of reference, the Course of Study in Political Science and International Relations aims to integrate the basic knowledge typical of interdisciplinary training in the legal, economic, historical, sociological and political fields with a preparation oriented to the international and European dimension of the same fields, in order to develop a specific competence in understanding, analyzing and managing the legal, economic, political and social phenomena of today's national, European and international reality."
146,31,JGU Journalism and Communications,3,"Journalists work in all sorts of media and industries. You'll find them practicing strategic communication as they work in advertising, public relations, marketing, and in areas such as health care, politics, gaming, and entertainment."
147,32,HU Applied Biology,4,The Biology (Applied Biology and Biotechnology) Programme is designed to equip the students with the practical uses of biological knowledge and to inculcate in the students an entrepreneurial and problem-solving ability.
148,32,HU Applied Mathematics,4,Knowledge and understanding. Knowledge and understanding are fundamental to studying mathematics and form the base from which to explore concepts and develop problem-solving skills. Through knowledge and understanding students develop mathematical reasoning to make deductions and solve problems.
149,32,HU Applied Chemistry,4,"The Department of Applied Chemistry is designed to educate students to be innovative and practical researchers and engineers, with fundamental skills spanning broad disciplines of chemistry, such as nanotechnology, advanced materials, biotechnology, food, energy and environmental sciences, in order to respond to the demands of a rapidly changing society.
"
150,32,HU Applied Physics,4,"The goal of the Physics major is to provide the student with a broad understanding of the physical principles of the universe, to help them develop critical thinking and quantitative reasoning skills, to empower them to think creatively and critically about scientific problems and experiments, and to provide training for students planning careers in physics."
151,33,HU Pharmacy,4,"Educating patients and healthcare professionals on the safe use of medications. Providing health education programs to the community to prevent disease and promote public health. Ensuring high quality care through the education of students, residents, fellows, and staff."
152,33,HU Nursing,4,"Caring for patients with acute and chronic illnesses; facilitating discharge planning; providing palliative care; and offering patient education; illness prevention services, and health maintenance care. Providing comprehensive care that considers the patient's social, emotional, cultural, and physical needs."
153,33,HU Medicine,5,"The prevention of disease and injury and the promotion and maintenance of health
The relief of pain and suffering caused by maladies
The care and cure of those with a malady and the care of those who cannot be cured
The avoidance of premature death and the pursuit of a peaceful death"
154,34,HU Computer Science,4,"The goals of the computer and information sciences department are to prepare students for graduate training in some specialized area of computer science, to prepare students for jobs in industry, business or government, and to provide support courses for students in engineering, mathematics and other fields."
155,34,HU Textile Engineering,5,"The main objectives of the textile-engineering program are to provide broad-based education and training in textile engineering; to enable graduates to be creative, adaptable, problem solver in the challenges of the engineering professions in rapidly changing environment that exists in the globe."
156,34,HU Chemical Engineering,5,The Program Educational Objectives of the Chemical Engineering Program are: To provide chemical engineering students with a strong technical education and communication skills that will enable them to have successful careers in a wide range of industrial and professional environments.
157,34,HU Civil Engineering,5,"An ability to identify, formulate, and solve engineering problems. an understanding of professional and ethical responsibility. an ability to communicate effectively. the broad education necessary to understand the impact of engineering solutions in a global, economic, environmental, and societal context."
158,34,HU Architecture,5,"Architecture objectives are the goals and constraints that shape your architecture and design process, scope the exercise, and help you to determine when you are finished. Consider the following key points as you identify your architecture objectives understand your architecture goals at the start."
159,35,AGU Department of Chemical Engineering,5,"To deliver quality education through practical teaching and dedicated staff which enable to produce qualified chemical engineering graduates who give paramount contributions in solving problems they face in industry and other sectors, and who are also ethically strong.
To assist the attainment of technology transformation and development goal set nationally through well trained chemical engineers by implementing the industry based education of target industries
"
160,35,AGU Department of Architecture Engineering,5,"Architecture objectives are the goals and constraints that shape your architecture and design process, scope the exercise, and help you to determine when you are finished. Consider the following key points as you identify your architecture objectives understand your architecture goals at the start."
161,35,AGU Department of Mechanical Engineering,5,"The mission of the Department of Mechanical Engineering is to provide an education that builds within students a solid foundation in mechanical engineering principles, expands the reasoning, communication and problem solving abilities of students, and prepares graduates who have the motivation and ability for lifelong professional carrers."
162,35,AGU Department of Computer Science,4,"The Department of Computer Science engages in the research, education, and service activities required to create and disseminate the knowledge of problem solving using computers."
163,36,AGU Mathematics,4,Knowledge and understanding. Knowledge and understanding are fundamental to studying mathematics and form the base from which to explore concepts and develop problem-solving skills. Through knowledge and understanding students develop mathematical reasoning to make deductions and solve problems.
164,36,AGU Geology,4,"Geology is the study of the Earth – how it works and its 4.5 billion-year history. Geologists study some of society's most important problems, such as energy, water, and mineral resources; the environment; climate change; and natural hazards like landslides, volcanoes, earthquakes, and floods."
165,36,AGU Chemistry,4,"Students will have knowledge of the fundamental principles and contemporary practices of chemistry, and will be able to use them to investigate, explain, and predict new phenomena. Students will be aware of the application of scientific principles, particularly those of chemistry, to societal issues."
166,36,AGU Biotechnology,4,To provide an intensive and in-depth learning and to develop technical and critical thinking skills necessary for success in the field of biotechnology. Students develop awareness & knowledge of different topics of biotechnology through lectures and practical classes.
167,36,AGU Biology,4,The study of biology aims to increase understanding of living systems and to allow you to consider the systems in relationship to the self and other organisms in the natural environment. An advantage of biology subjects is the application of theory to the real world.
168,37,AGU Civic and Ethical Education,3,"The main goal of civic education can be considered as the formation of civil qualities on the basis of new knowledge, skills and values ??that help individuals to solve emerging problems, adapt to changing socio-economic and political conditions, represent and protect their rights and interests, respecting the interests and rights of others."
169,37,AGU Archeology and Heritage Management,3,"Train competent professionals in Archaeology and Heritage Management;
Train competent heritage managers, planners and policy makers;
Train competent instructors to higher institutions to address the need of the country;
Train professionals to serve private and public organizations in archaeology, heritage management and tourism.
"
170,38,WSU Sociology,3,"To teach students the concepts, theories, and methods of the behavioral and social services.
To introduce students to the basic social processes of society, social institutions and patterns of social behavior."
171,39,WSU Management,3,One very critical objective of management is to ensure proper coordination and interaction between the various departments and human resources within an organization. The aim is to maximize the use of all the resources within an organization to produce the best possible result.
172,39,WSU Economics ,3,"The programs offered by the Department of Economics are designed to (1) provide a general understanding of the functioning of the economic system and the role of institutions, groups, and regions within that system; and (2) prepare the student for employment in industry, the professions, and government, or to pursue graduate work toward such advanced degrees."
173,39,WSU Accounting and Finance ,3,"Strategic Budgeting and Projecting
Cost Containment and Purchasing Management
Cash Flow Management
Debt Service and Credit Use
Proactive Tax Planning"
174,40,WSU Mechanical Engineering,5,"The mission of the Department of Mechanical Engineering is to provide an education that builds within students a solid foundation in mechanical engineering principles, expands the reasoning, communication and problem solving abilities of students, and prepares graduates who have the motivation and ability for lifelong professional degree."
175,40,WSU Civil Engineering,5,"An ability to identify, formulate, and solve engineering problems. an understanding of professional and ethical responsibility. an ability to communicate effectively. the broad education necessary to understand the impact of engineering solutions in a global, economic, environmental, and societal context."
176,40,WSU Electrical and Computer Engineering,5,"The Department of Electrical and Computer Engineering educates, conducts research, and disseminates knowledge through nationally recognized programs in electrical engineering and computer engineering for the benefit of society."
177,41,MWU Computer Science ,4,"Welcome to the Department of Computer Science at the University of Madd awalabu. I am happy that you have chosen to find out more about our department. We recognize that this website is designed for a wide range of people who often seek specific information. Given this, we have compiled a set of useful information for individuals interested in our undergraduate program, our research endeavors, as well as information regarding the faculty and staff in the department itself. I hope you will find the information helpful. We always appreciate your input as to how we might make the materials more informative and enlightening. Should there be any areas that require more detail, please contact me. I will be happy to answer any questions you might have about our department, the College of Computing or The University of Madda Walabu."
178,41,MWU Information Science,4,"The undergraduate professional degree program centers on how the artifacts of human knowledge are structured, organized, managed, evaluated, and made accessible. The university believes that Information Science (IS) and newly emerging related fields must be taught together since the technical, humanistic, social, and behavioral aspects of Information Science are interrelated. An understanding of users must guide information systems design, just as knowledge of technical possibilities and constraints must shape user services. The history, policy, and economic contexts of information creation and dissemination are also essential elements."
179,41,MWU Information Systems,4,"Information Systems is an arrangement of people, data, processes, communication, and information technology that interact to capture, transmit, store, retrieve, manipulate and/or display information needed to support and improve day-to-day operations in a business as well as support the problem solving and decision making needs of management and other users. "
180,42,MWU Construction Technology and Management,5,"The mission of higher institutions is to provide public service through teaching and continuous research. Construction technology and management department was established in 2003 E.C, to provide quality education for students. COTM was the first department to the university in engineering college. The departments had several batches of alumni who served for their people. The department has local and expatriate instructors who have been of great help in achieving its goal of producing graduates who are not just globally competitive but one that would help the world to progress. We have started our quest to realizing our mission and vision having in mind that our values as department for center of excellence and hub of technology will play the key role in bringing forth researchers and managers scientists who will serve their country."
181,42,MWU Surveying Engineering,5,"Surveying is a global profession with excellent opportunities in industries that underpin land markets, urban and rural development and engineering construction.
Madda Walabu University started its Surveying Engineering Degree Program in 2007 E.C. The program's objective was to train future surveyors to be qualified for the practical application of sciences and technologies involved in acquiring, storing, managing, processing, integrating and visualizing geographic and spatially referenced information as well as integrating the data for different kinds of analyses."
182,42,MWU Mechanical Engineering,5,"To develop the trained manpower at the B.Sc. level for designing and operating machines, machine tools and other equipment that is needed for the industrial development of Ethiopia.
To carry out the basic research and development needed in creating methodologies and identifying suitable material and machinery for starting industries for Ethiopia's agricultural and industrial development.
To provide students with educational experiences that prepare them for continual learning.
To do research on a variety of applied topics suitable to local industries.
To give training to the personnel in industry as well as Government suited for their requirements.
To teach the curriculum through integrated experiences in analysis, computation, experimentation, design and fabrication.To adopt a modular structure in the curriculum, this encourages the development of new opinions at a later stage, allowing the emergence of a wide variety of programs of study in Mechanical Engineering.
To provide central computing facilities through hardware and software which support a variety of courses like Computer Aided Design, Finite Element Analysis, and Data Base Structures etc.
"
183,43,MWU Tourism Management,3,"The Objectives of Tourism and Hotel Management Program is to provide training, skill development and education needed to prepare individuals for effective job performance in the hospitality, tourism and entertainment industries."
184,43,MWU Accounting and Finance ,3,"Strategic Budgeting and Projecting
Cost Containment and Purchasing Management
Cash Flow Management
Debt Service and Credit Use"
